,FV1,FV2,FV3,FV4,FV5,FV6,FV7,FV8,FV9,FV10,Label
148,-1.077097688429047,2.3696526114279233,-0.004456297941706548,-1.0778503717480816,0.17903202607415059,-0.22232849503134933,0.24373436330984655,-0.05566673428616641,1.1309566884583393,-1.0497499939131079,1
383,-0.838107660730887,2.2471809985450304,-0.838107660730887,1.6971576311622152,-0.31592347760137596,-0.5749573501352153,-0.13143277588334146,-0.06915676783318779,0.088664264167968,-0.7090480633247876,1
427,-0.9648044177464832,0.24505867251680746,-0.42911654938020594,0.24505867251680746,1.1270034481823095,0.48024301695718946,-0.4915205611788424,-0.7009254072577208,2.6949130225126625,-1.0363784138318461,1
780,-0.909120624606081,1.5974579277689016,-0.909120624606081,-0.3805425920576024,1.0039408322738899,-0.21330924448874114,-0.42865829738936934,-0.16003460258068725,1.8561743152648509,-0.9497938635029495,0
366,-1.0255831974505247,1.324825990673026,-1.0255831974505247,-0.30980815623857466,0.7423422169833181,0.20684636974115658,0.03083167062764214,-0.30919951120252137,2.1140051096237227,-1.074094002086605,1
590,-0.5713524145278102,-0.050365966771660726,-0.5713524145278102,-0.053623805188919085,2.217248525096889,-0.5901960863860333,-0.5587701331282721,-0.46461853497570277,2.3182496049485843,-0.6415223626157315,1
722,-0.67796019239142,-0.05542905780877637,-0.7109217603991546,-0.6978356065882031,0.8474169148374223,1.2909708714154613,-0.46345934934115246,-0.4636783229739097,2.8893424932704432,-0.7074332430072084,1
410,-0.8393969113015032,2.5071697960418895,-0.8393969113015032,-0.8269881968238071,0.30301750459793625,-0.40245016521526694,0.20537931133358672,0.2190231235530579,0.8936360537121137,-0.7453509299371002,0
560,-0.25502009227525063,1.9837304883186724,0.651440339458109,-0.25502009227525063,-0.900338547842593,0.005920292763027897,1.0317234991347621,-0.988374402957519,0.7613185392857434,-1.5037867747009848,1
111,-1.1242599271578133,0.8515345611209215,-0.21356113691453812,-0.046370810454095114,1.117813347334501,0.021744753990155224,-0.3314206567338764,-0.6141261175640423,2.3934793576984608,-1.1890155428454128,1
381,-0.9541852963178956,2.5309447820137745,0.9313453084713267,-0.9636233511015198,-0.42281506183519163,-0.3761478845553483,0.360805317290701,-0.11426576621853084,0.3008737172098951,-0.8413848821222992,1
445,-1.0526148204308803,0.659397729269591,-0.015549071530052359,-0.8085029179058723,0.49935660786913155,0.7985644588885745,-0.16777814420864065,-0.5546206578671469,2.4824965108273642,-1.1096296551051754,1
699,-1.1023110573374466,1.7292037077340945,-1.059100776017978,1.7292037077340945,-0.344125470104523,-0.022646877877509804,-0.15801791697497158,-0.01014113801253013,0.8421687168106047,-1.1137229327200961,1
345,-1.356868761468009,1.5424544193382834,0.8485000756668956,1.5424544193382834,-0.6077379848163015,-0.1288766393545774,-0.01815312891334424,-0.5817932596805762,0.7605345211455978,-1.3462461832164527,0
26,-0.9996658981469644,1.8717985919550417,-0.9996658981469644,-0.5298591522613522,0.5968390077914909,-0.05197305728264961,0.16026393671042216,-0.09757230945493113,1.6896593289508308,-1.0448335580344477,1
333,-1.1382926990994335,1.5370207587700058,0.979748595391486,-1.148259092937536,0.759163975611658,-0.5641517878636639,-0.02265583094156091,-0.25340090203134896,1.4789713187632372,-1.1165914195074678,0
400,-0.9642145760123939,0.255658188454214,-0.659234152671427,0.255658188454214,0.44420793615110415,1.0542280946095204,-0.4862538875019489,-0.7140438529373315,2.5903813629177024,-0.9517203842452632,0
420,-1.2068672795562063,1.5692294135341445,1.137650009770218,1.5543472955017612,-0.7964025127041265,-0.6032396047261581,0.37216522417106945,-0.448723234749778,-0.03796732346326968,-1.1061648401798336,1
12,-0.9262357648723234,2.1955271376172147,-0.9262357648723234,-0.22888065372231947,0.8485353219625268,-0.6993154201009322,-0.1556599182062938,0.04490554014167254,1.225687277532375,-0.8712595776133483,0
282,-0.9026684902707565,2.2821606543651596,-0.9515847923270804,-0.9167359023528012,0.21810924791167527,0.018387526610186847,0.15533789052495725,0.20630081776729883,1.2834058115255809,-0.8968883963446176,0
441,-1.0295789568592282,2.3925415704344335,0.8584018510532898,0.846779789861541,-0.2107499015969159,-0.9967763724122389,-0.053410473185478216,-0.2999541426126704,-0.036454373371929076,-0.9967763724122389,0
614,-1.0135870482916016,0.9687386197829824,-0.4620592944630408,0.6242592708512896,-0.7179639733152255,1.463380298324055,-0.41131057242127034,-0.7656099009641504,1.8961939594151422,-1.0059629961749932,1
778,-0.755363054882465,0.48539540922238245,-0.755363054882465,-0.00917434749067009,1.721846520153733,-0.1657813751095571,-0.6466357470811203,-0.5601344366474638,2.4348695113401573,-0.7378418156627317,0
193,-0.8164824761295741,-0.07189611407955411,-0.38867367746662573,-0.3102987846335086,1.348787131258883,0.5388302834372417,-0.4074164136827451,-0.6088123986464284,2.825002719591161,-0.8956387545456835,1
481,-0.2964527806265948,1.5720349218640213,1.3086799338822426,-0.2964527806265948,-0.18360562021274773,-0.8604405430788695,1.3696655084251184,-1.2029224380492132,0.39322176665001873,-1.2890598559135564,1
777,-1.1873758833533092,2.024300124992438,0.7405167929965504,1.5388332855472262,-0.4784208049221695,-0.7048367327966629,-0.10682104279689081,-0.40067635287571507,0.1471899490968034,-1.0275055767570505,0
744,-0.6719343928903432,0.142762999945799,0.142762999945799,-0.6719343928903432,1.2174619530462638,0.2227397577117693,-0.04450707722506059,-0.9314421544865714,2.6220788168590157,-1.0557853355122722,1
808,-1.3905405640491775,1.6780471031282485,0.33057467117988376,0.34996246627900157,0.23363597638339328,0.04945408510446848,-0.535876304495746,-0.7098286673739703,1.8137648381005067,-1.1520038854207344,0
10,-0.8808523573258489,0.1071350021619364,-0.2997566709635444,-0.41720046482325357,0.4678969852819451,1.2481582404499076,-0.32158431699259904,-0.6624263230200583,2.7205933116713084,-0.9544479215469992,1
52,-1.4199038426055346,1.2673351580382866,0.6222703494043516,0.267942509192166,-0.20448417427253424,0.5495874174245112,-0.1565080351887359,-0.746327009306144,1.9033180199106499,-1.3652080426526612,0
